 nombre_local; direccion; codigo_postal; ciudad; clientes_mensuales; telefono; numero_empleados; numero_platos_menu
  frutas con encanto; Plaza de Espanya, 2701; 40854; Sevilla; 167977; +34 666 876 456; 78; 53
  postres apetitoso; Plaza de Espanya, 3581; 15991; Murcia; 882036; +34 666 972 456; 60; 57
  calientes moderno; Plaza del Sol, 1661; 64760; Sevilla; 585712; +34 666 974 456; 100; 15
  dulces original; Calle Mayor, 4741; 45219; Alicante; 765948; +34 666 451 456; 67; 38
  cafeteria economico; Plaza del Sol, 3251; 40857; Sevilla; 14713; +34 666 239 456; 62; 26
  frios diferente; Paseo de Gracia, 1641; 21507; Murcia; 740993; +34 666 735 456; 65; 26
  restaurante casero; Plaza de Espanya, 51; 25267; Murcia; 799727; +34 666 424 456; 77; 50
  postres rico; Plaza del Sol, 9721; 55990; Murcia; 486559; +34 666 550 456; 10; 10
  veganos sabroso; Calle Mayor, 9111; 22363; Barcelona; 879005; +34 666 240 456; 21; 71
  pasta sabroso; Paseo de Gracia, 311; 29956; Madrid; 433109; +34 666 189 456; 90; 6
  carne original; Plaza de Espanya, 9401; 17403; Zaragoza; 366335; +34 666 916 456; 30; 41
  tacos tentador; Calle Mayor, 1731; 33297; Valencia; 143132; +34 666 195 456; 21; 71
  ensaladas casero; Paseo de Gracia, 4521; 54028; Madrid; 798290; +34 666 16 456; 79; 97
  hamburgueseria original; Plaza del Sol, 5481; 69387; Barcelona; 111539; +34 666 251 456; 70; 72
  fritas diferente; Plaza del Sol, 2941; 40376; Malaga; 733319; +34 666 943 456; 70; 2
  tacos gourmet; Paseo de Gracia, 101; 53193; Barcelona; 646104; +34 666 894 456; 67; 19
  calientes vegetariano; Avenida de la Paz, 7261; 32403; Bilbao; 453690; +34 666 558 456; 70; 88
  carne delicioso; Avenida de la Paz, 3191; 28388; Sevilla; 524731; +34 666 907 456; 89; 11
  vegetarianos sabroso; Calle Mayor, 6601; 53606; Murcia; 502845; +34 666 224 456; 44; 50
  sopas atractivo; Plaza del Sol, 71; 14756; Madrid; 874022; +34 666 167 456; 51; 93
  pescado casero; Avenida de la Paz, 1291; 60653; Zaragoza; 824773; +34 666 531 456; 69; 58
  tacos creativo; Plaza del Sol, 8601; 24497; Zaragoza; 283598; +34 666 455 456; 31; 57
  horneados gourmet; Avenida de la Paz, 3931; 46647; Malaga; 839313; +34 666 145 456; 79; 21
  postres moderno; Plaza del Sol, 1151; 15758; Murcia; 382497; +34 666 11 456; 98; 69
  ensaladas apetitoso; Plaza del Sol, 3981; 53899; Murcia; 834320; +34 666 676 456; 44; 57
  verduras sano; Avenida de la Paz, 9921; 41644; Alicante; 309957; +34 666 330 456; 65; 38
  horneados economico; Avenida de la Paz, 6381; 27878; Zaragoza; 371255; +34 666 534 456; 7; 36
  restaurante seductor; Plaza del Sol, 8961; 34253; Bilbao; 790815; +34 666 366 456; 78; 65
  picantes exotico; Calle Mayor, 491; 22959; Valencia; 709234; +34 666 359 456; 35; 17
  ensaladas creativo; Plaza del Sol, 6611; 64628; Murcia; 630772; +34 666 173 456; 34; 16
  picantes sano; Plaza del Sol, 4761; 65957; Bilbao; 278802; +34 666 95 456; 86; 9
  veganos fresco; Plaza de Espanya, 1491; 18771; Barcelona; 769533; +34 666 627 456; 81; 6
  restaurante exquisito; Plaza del Sol, 1811; 55452; Alicante; 823221; +34 666 198 456; 87; 48
  bebidas original; Calle Mayor, 3631; 33965; Madrid; 515291; +34 666 480 456; 74; 25
  carne vegetariano; Avenida de la Paz, 3661; 65322; Zaragoza; 685795; +34 666 682 456; 97; 18
  fritas delicioso; Avenida de la Paz, 951; 65986; Valencia; 337980; +34 666 841 456; 85; 79
  veganos atractivo; Avenida de la Paz, 8231; 60564; Malaga; 486162; +34 666 673 456; 99; 26
  dulces vegano; Paseo de Gracia, 4821; 47199; Zaragoza; 455160; +34 666 792 456; 99; 34
  fritas sabroso; Plaza del Sol, 9151; 51965; Barcelona; 632183; +34 666 797 456; 16; 46
  veganos economico; Calle Mayor, 1191; 24575; Madrid; 495207; +34 666 819 456; 19; 42
  pizzeria sabroso; Avenida de la Paz, 9021; 58692; Alicante; 32242; +34 666 68 456; 39; 39
  veganos atractivo; Paseo de Gracia, 4761; 64858; Barcelona; 796040; +34 666 590 456; 53; 87
  pasta familiar; Paseo de Gracia, 6801; 52180; Zaragoza; 396834; +34 666 380 456; 42; 44
  frutas atractivo; Calle Mayor, 3651; 69720; Malaga; 313659; +34 666 699 456; 78; 89
  pizzeria atractivo; Plaza del Sol, 4451; 48806; Alicante; 361329; +34 666 333 456; 51; 89
  carne innovador; Plaza de Espanya, 5291; 27913; Bilbao; 513354; +34 666 948 456; 66; 82
  pasta nutritivo; Plaza de Espanya, 4051; 11682; Zaragoza; 59229; +34 666 742 456; 10; 20
  ensaladas vegetariano; Plaza del Sol, 3511; 69025; Alicante; 351331; +34 666 918 456; 51; 51
  carne moderno; Calle Mayor, 3711; 12777; Murcia; 420854; +34 666 34 456; 35; 89
  pollo delicioso; Calle Mayor, 7971; 37675; Sevilla; 292330; +34 666 359 456; 13; 57
  veganos vegano; Paseo de Gracia, 8411; 48604; Alicante; 722555; +34 666 436 456; 95; 3
  bar vegetariano; Plaza de Espanya, 6021; 50566; Bilbao; 131975; +34 666 221 456; 55; 75
  sopas delicioso; Calle Mayor, 1571; 28751; Alicante; 971872; +34 666 183 456; 62; 96
  frutas apetitoso; Plaza de Espanya, 9271; 34390; Malaga; 350610; +34 666 493 456; 54; 42
  frios fresco; Plaza del Sol, 3811; 29428; Sevilla; 47556; +34 666 155 456; 65; 49
  picantes casero; Plaza de Espanya, 2211; 39128; Alicante; 322458; +34 666 806 456; 68; 2
  sushi vegano; Calle Mayor, 5141; 46231; Sevilla; 872316; +34 666 652 456; 7; 30
  sopas nutritivo; Plaza de Espanya, 481; 45442; Madrid; 468499; +34 666 123 456; 85; 36
  fritas diferente; Paseo de Gracia, 861; 35786; Valencia; 731888; +34 666 488 456; 14; 11
  pizzeria sabroso; Plaza de Espanya, 7541; 56366; Bilbao; 929761; +34 666 371 456; 18; 70
  sopas tentador; Plaza de Espanya, 8411; 30812; Madrid; 297671; +34 666 884 456; 100; 67
  veganos atractivo; Paseo de Gracia, 1211; 18208; Madrid; 392316; +34 666 660 456; 56; 60
  pasta atractivo; Calle Mayor, 6731; 31213; Barcelona; 649393; +34 666 225 456; 24; 7
  postres nutritivo; Avenida de la Paz, 5001; 66072; Bilbao; 559269; +34 666 297 456; 74; 65
  dulces nutritivo; Paseo de Gracia, 2781; 29338; Bilbao; 423458; +34 666 327 456; 50; 48
  postres vegetariano; Calle Mayor, 5481; 31231; Barcelona; 155283; +34 666 658 456; 2; 72
  carne delicioso; Plaza del Sol, 4431; 41007; Barcelona; 713837; +34 666 434 456; 35; 41
  guisos casero; Avenida de la Paz, 631; 26996; Sevilla; 726501; +34 666 650 456; 29; 32
  salados familiar; Paseo de Gracia, 261; 49850; Murcia; 736391; +34 666 4 456; 15; 69
  pasta moderno; Paseo de Gracia, 8551; 25758; Madrid; 688343; +34 666 83 456; 50; 69
  frios vegetariano; Calle Mayor, 8361; 55382; Zaragoza; 646878; +34 666 170 456; 42; 94
  carne tradicional; Plaza del Sol, 8081; 15714; Sevilla; 662785; +34 666 850 456; 12; 17
  verduras con encanto; Plaza de Espanya, 3291; 66241; Madrid; 756014; +34 666 475 456; 95; 68
  bar fresco; Plaza del Sol, 6111; 16184; Malaga; 404674; +34 666 758 456; 22; 12
  bebidas delicioso; Calle Mayor, 4471; 43104; Murcia; 410047; +34 666 92 456; 51; 80
  sushi economico; Plaza de Espanya, 1611; 28297; Barcelona; 554822; +34 666 567 456; 97; 88
  hamburgueseria gourmet; Paseo de Gracia, 6921; 56273; Malaga; 91564; +34 666 889 456; 40; 17
  calientes vegano; Calle Mayor, 2591; 54580; Madrid; 391875; +34 666 757 456; 88; 71
  frutas sabroso; Paseo de Gracia, 3541; 63924; Barcelona; 371843; +34 666 838 456; 88; 90
  verduras nutritivo; Plaza del Sol, 6051; 10718; Malaga; 363023; +34 666 462 456; 67; 4
  cafeteria fresco; Calle Mayor, 3781; 38912; Barcelona; 770501; +34 666 175 456; 79; 19
  postres con encanto; Plaza del Sol, 9271; 46190; Zaragoza; 414317; +34 666 864 456; 32; 12
  pizzeria vegetariano; Calle Mayor, 4761; 52383; Barcelona; 951412; +34 666 970 456; 62; 15
  frutas gourmet; Paseo de Gracia, 2591; 32152; Bilbao; 942065; +34 666 781 456; 34; 55
  pasta sano; Plaza de Espanya, 4651; 63017; Madrid; 792101; +34 666 843 456; 47; 53
  ensaladas atractivo; Paseo de Gracia, 1581; 14629; Valencia; 91308; +34 666 886 456; 27; 9
  pescado delicioso; Paseo de Gracia, 4331; 23286; Alicante; 757072; +34 666 660 456; 34; 80
  dulces tradicional; Paseo de Gracia, 9921; 14463; Madrid; 808647; +34 666 456 456; 38; 11
  cafeteria exotico; Plaza del Sol, 3011; 31266; Murcia; 414293; +34 666 997 456; 22; 99
  carne original; Plaza del Sol, 7411; 17396; Barcelona; 603100; +34 666 857 456; 30; 43
  hamburgueseria economico; Avenida de la Paz, 4961; 55199; Bilbao; 218188; +34 666 633 456; 68; 9
  verduras innovador; Avenida de la Paz, 4981; 60268; Valencia; 519586; +34 666 682 456; 57; 53
  guisos innovador; Avenida de la Paz, 8211; 43669; Bilbao; 274297; +34 666 576 456; 6; 4
  cafeteria apetitoso; Plaza de Espanya, 711; 29147; Valencia; 976718; +34 666 997 456; 64; 9
  pescado familiar; Plaza de Espanya, 2821; 47277; Zaragoza; 909102; +34 666 86 456; 22; 7
  sushi nutritivo; Plaza del Sol, 831; 10027; Barcelona; 953297; +34 666 393 456; 21; 7
  frutas delicioso; Paseo de Gracia, 5201; 56238; Barcelona; 683357; +34 666 62 456; 36; 24
  horneados innovador; Calle Mayor, 1601; 26900; Zaragoza; 816283; +34 666 755 456; 82; 49
  restaurante tentador; Plaza de Espanya, 3731; 19162; Malaga; 160049; +34 666 403 456; 25; 97
  sushi delicioso; Plaza de Espanya, 1531; 19991; Malaga; 970404; +34 666 236 456; 92; 83
  frios creativo; Plaza del Sol, 3311; 45722; Sevilla; 577104; +34 666 573 456; 49; 97
  dulces rico; Avenida de la Paz, 4381; 27575; Zaragoza; 716428; +34 666 838 456; 75; 91
  frios fresco; Plaza de Espanya, 7281; 67129; Sevilla; 105533; +34 666 889 456; 13; 21
  cafeteria delicioso; Avenida de la Paz, 6651; 15801; Sevilla; 587300; +34 666 955 456; 67; 23
  fritas innovador; Paseo de Gracia, 1261; 38902; Alicante; 712907; +34 666 668 456; 35; 40
  postres exquisito; Paseo de Gracia, 2821; 31319; Madrid; 177117; +34 666 757 456; 37; 70
  salados familiar; Paseo de Gracia, 3421; 52139; Valencia; 73644; +34 666 965 456; 60; 48
  pizzeria diferente; Avenida de la Paz, 1431; 27959; Barcelona; 708070; +34 666 988 456; 53; 8
  carne moderno; Plaza del Sol, 91; 24144; Barcelona; 764156; +34 666 798 456; 89; 51
  hamburgueseria exotico; Plaza de Espanya, 9061; 58114; Alicante; 269560; +34 666 42 456; 33; 50
  guisos familiar; Plaza de Espanya, 2211; 30648; Sevilla; 225346; +34 666 428 456; 43; 13
  vegetarianos innovador; Calle Mayor, 5261; 32360; Malaga; 798831; +34 666 81 456; 27; 11
  frutas sano; Calle Mayor, 8531; 11547; Madrid; 420821; +34 666 649 456; 58; 66
  pescado apetitoso; Avenida de la Paz, 5201; 13792; Murcia; 850853; +34 666 515 456; 42; 29
  bar delicioso; Paseo de Gracia, 8361; 48420; Alicante; 206186; +34 666 281 456; 53; 48
  falafel sano; Plaza del Sol, 2571; 37022; Madrid; 586931; +34 666 180 456; 73; 43
  bar creativo; Calle Mayor, 7461; 64326; Zaragoza; 462440; +34 666 922 456; 98; 82
  horneados seductor; Plaza del Sol, 6311; 10039; Madrid; 814130; +34 666 841 456; 47; 62
  frutas innovador; Calle Mayor, 8841; 43891; Murcia; 142351; +34 666 283 456; 6; 94
  vegetarianos economico; Plaza del Sol, 2861; 59785; Murcia; 811573; +34 666 700 456; 30; 93
  salados apetitoso; Calle Mayor, 8101; 63431; Sevilla; 140213; +34 666 185 456; 60; 65
  sopas familiar; Avenida de la Paz, 7171; 62964; Madrid; 523034; +34 666 807 456; 59; 14
  carne gourmet; Plaza del Sol, 9961; 23984; Barcelona; 618246; +34 666 431 456; 19; 71
  guisos fresco; Plaza del Sol, 8991; 58502; Madrid; 573897; +34 666 702 456; 70; 12
  horneados vegetariano; Calle Mayor, 421; 29861; Barcelona; 270007; +34 666 587 456; 23; 72
  dulces fresco; Paseo de Gracia, 971; 12870; Sevilla; 252846; +34 666 832 456; 1; 19
  bebidas delicioso; Calle Mayor, 3561; 20869; Madrid; 682144; +34 666 386 456; 68; 13
  hamburgueseria familiar; Plaza de Espanya, 7211; 15352; Alicante; 273417; +34 666 80 456; 35; 65
  pescado con encanto; Paseo de Gracia, 2121; 42653; Barcelona; 676666; +34 666 7 456; 4; 84
  carne delicioso; Avenida de la Paz, 5911; 27122; Murcia; 875883; +34 666 223 456; 82; 8
  hamburgueseria nutritivo; Calle Mayor, 7171; 44946; Madrid; 491149; +34 666 60 456; 58; 72
  sushi creativo; Paseo de Gracia, 5651; 33539; Valencia; 173884; +34 666 557 456; 62; 13
  sopas tradicional; Plaza de Espanya, 6311; 22105; Bilbao; 250471; +34 666 898 456; 71; 97
  picantes gourmet; Paseo de Gracia, 5111; 17351; Malaga; 544925; +34 666 62 456; 47; 57
  guisos economico; Avenida de la Paz, 4391; 68647; Murcia; 425391; +34 666 308 456; 60; 22
  tacos exquisito; Calle Mayor, 1731; 23481; Alicante; 486820; +34 666 705 456; 93; 39
  guisos rico; Avenida de la Paz, 3441; 32998; Zaragoza; 775836; +34 666 398 456; 73; 3
  tacos exotico; Plaza de Espanya, 5531; 23192; Bilbao; 725644; +34 666 732 456; 17; 27
  cafeteria rico; Plaza del Sol, 6861; 38433; Alicante; 96361; +34 666 515 456; 64; 42
  frios casero; Avenida de la Paz, 461; 48566; Barcelona; 202; +34 666 861 456; 100; 87
  sopas atractivo; Avenida de la Paz, 3711; 26935; Madrid; 319936; +34 666 636 456; 90; 53
  vegetarianos delicioso; Plaza de Espanya, 9201; 41638; Zaragoza; 519880; +34 666 2 456; 86; 24
  calientes sano; Calle Mayor, 2481; 57272; Bilbao; 384575; +34 666 786 456; 76; 36
  vegetarianos apetitoso; Calle Mayor, 7641; 31454; Alicante; 622274; +34 666 147 456; 35; 7
  pasta exquisito; Paseo de Gracia, 1961; 55480; Sevilla; 820313; +34 666 122 456; 18; 8
  pasta vegetariano; Plaza de Espanya, 7311; 13957; Bilbao; 18914; +34 666 691 456; 16; 47
  dulces vegetariano; Plaza del Sol, 7921; 16996; Murcia; 914238; +34 666 740 456; 82; 29
  pescado seductor; Avenida de la Paz, 101; 45576; Zaragoza; 626411; +34 666 306 456; 20; 63
  pollo vegetariano; Plaza del Sol, 9411; 48983; Murcia; 140241; +34 666 226 456; 87; 75
  picantes vegetariano; Plaza de Espanya, 7631; 40753; Valencia; 60926; +34 666 276 456; 37; 86
  sushi exquisito; Calle Mayor, 4871; 65870; Barcelona; 659768; +34 666 816 456; 39; 32
  carne rico; Paseo de Gracia, 3011; 63925; Murcia; 464166; +34 666 529 456; 89; 82
  pollo fresco; Avenida de la Paz, 8941; 27909; Madrid; 10936; +34 666 145 456; 64; 29
  vegetarianos economico; Paseo de Gracia, 6391; 17875; Zaragoza; 28930; +34 666 765 456; 48; 68
  horneados nutritivo; Plaza de Espanya, 711; 69148; Barcelona; 373006; +34 666 843 456; 99; 69
  tacos vegetariano; Avenida de la Paz, 6551; 27482; Valencia; 747108; +34 666 417 456; 60; 4
  postres exotico; Paseo de Gracia, 3321; 44212; Madrid; 364433; +34 666 1 456; 10; 2
  pasta original; Calle Mayor, 3011; 56215; Madrid; 353943; +34 666 765 456; 73; 92
  frutas atractivo; Plaza del Sol, 3031; 37845; Valencia; 314899; +34 666 319 456; 61; 91
  falafel vegetariano; Paseo de Gracia, 1401; 44796; Valencia; 713553; +34 666 883 456; 25; 96
  frios nutritivo; Paseo de Gracia, 8451; 24331; Barcelona; 268325; +34 666 904 456; 63; 5
  hamburgueseria delicioso; Avenida de la Paz, 5051; 52217; Sevilla; 219009; +34 666 980 456; 25; 25
  postres apetitoso; Calle Mayor, 6691; 43726; Murcia; 845785; +34 666 253 456; 13; 52
  pescado sano; Calle Mayor, 4011; 30474; Madrid; 851157; +34 666 442 456; 25; 5
  cafeteria sabroso; Plaza del Sol, 1191; 66105; Barcelona; 277364; +34 666 175 456; 89; 49
  pescado nutritivo; Avenida de la Paz, 3261; 47879; Barcelona; 658856; +34 666 808 456; 17; 24
  frios gourmet; Paseo de Gracia, 8551; 32958; Madrid; 895795; +34 666 76 456; 91; 47
  dulces original; Avenida de la Paz, 2961; 26171; Sevilla; 416075; +34 666 109 456; 52; 59
  carne moderno; Plaza del Sol, 4971; 46498; Barcelona; 872852; +34 666 51 456; 84; 50
  pizzeria creativo; Avenida de la Paz, 9171; 59514; Malaga; 90843; +34 666 199 456; 15; 17
  pizzeria vegetariano; Calle Mayor, 9311; 49666; Sevilla; 871401; +34 666 47 456; 60; 49
  verduras familiar; Plaza de Espanya, 3131; 22729; Madrid; 308447; +34 666 911 456; 78; 85
  bebidas original; Calle Mayor, 9531; 39670; Zaragoza; 705427; +34 666 454 456; 44; 72
